Frame_Trial1;YPosition_Trial1;Normalized_Trial1;Frame_Trial2;YPosition_Trial2;Normalized_Trial2;Frame_Trial3;YPosition_Trial3;Normalized_Trial3
22;-278.10819078540794;;38;-270.265846084403;;44;-270.4611545959802;
23;-276.88340620136256;;39;-270.0972023542394;;45;-270.52355424750755;
24;-276.7616615209579;;40;-269.9803023441305;;46;-270.34959874213644;
25;-276.65108209419253;;41;-270.36038849048515;;47;-270.44341011107883;
26;-277.9969887657164;;42;-270.4660030496587;;48;-270.50387756217435;
27;-278.7955959091186;;43;-270.3358720386495;;49;-270.58098603309105;
28;-277.64467471218103;;44;-270.27063368015195;;50;-270.5318807541222;
29;-277.35608704948424;;45;-269.94960487823386;;51;-270.7361807037683;
30;-277.4880214090346;;46;-269.8042121408452;;52;-270.79494347156003;
31;-276.5804639081954;;47;-269.58876784591575;;53;-271.19159527266936;
32;-275.87983115100855;;48;-268.90111603622336;;54;-271.465297731051;
33;-275.62554228973374;;49;-268.6769899843205;;55;-271.4130008837075;
34;-274.6490627489089;;50;-268.62174783401395;;56;-271.0945394979806;
35;-274.0301187000274;;51;-268.72279785423177;;57;-270.69142154468017;
36;-273.8010862483978;;52;-269.05774962692163;;58;-270.95057486880734;
37;-273.23020161151874;;53;-269.06201299743555;;59;-271.66626952708674;
38;-272.79874662208556;;54;-268.9558741043081;;60;-272.85766732085665;
39;-272.58616022300714;;55;-269.31696462325954;;61;-273.7553291612954;
40;-272.37816836643213;;56;-269.06149500636957;;62;-273.48927738154845;
41;-272.3402896814345;;57;-268.92315222434894;;63;-273.74713876784756;
42;-272.14132810592645;;58;-268.2445366609564;;64;-273.8898439747186;
43;-271.4637368774413;;59;-268.7820000465383;;65;-274.1235136066766;
44;-270.68311711406693;;60;-268.67601419238946;;66;-273.9317095209451;
45;-269.28394038391104;;61;-269.7799068210592;;67;-274.05590298236325;
46;-269.07507155227654;;62;-270.50198818950554;;68;-273.9872528082223;
